id,item,day,quantity
SKU001-9,SKU001,9,35.0
SKU001-16,SKU001,16,64.0
SKU001-24,SKU001,24,58.0
SKU001-30,SKU001,30,6.0
SKU002-9,SKU002,9,63.0
SKU002-16,SKU002,16,64.0
SKU002-24,SKU002,24,51.0
SKU002-30,SKU002,30,6.0
SKU003-2,SKU003,2,4.0
SKU003-9,SKU003,9,66.0
SKU003-16,SKU003,16,67.0
SKU003-24,SKU003,24,52.0
SKU003-30,SKU003,30,7.0
SKU004-9,SKU004,9,45.0
SKU004-16,SKU004,16,67.0
SKU004-24,SKU004,24,46.0
SKU004-30,SKU004,30,5.0
SKU005-2,SKU005,2,19.0
SKU005-9,SKU005,9,61.0
SKU005-16,SKU005,16,68.0
SKU005-24,SKU005,24,46.0
SKU005-30,SKU005,30,6.0
