item,day,quantity
SKU001,1,89.0
SKU001,2,81.0
SKU001,3,73.0
SKU001,4,61.0
SKU001,5,55.0
SKU001,6,48.0
SKU001,7,39.0
SKU001,8,32.0
SKU001,9,56.0
SKU001,10,44.0
SKU001,11,33.0
SKU001,12,23.0
SKU001,13,17.0
SKU001,14,10.0
SKU001,15,2.0
SKU001,16,61.0
SKU001,17,55.0
SKU001,18,47.0
SKU001,19,41.0
SKU001,20,29.0
SKU001,21,17.0
SKU001,22,12.0
SKU001,23,2.0
SKU001,24,48.0
SKU001,25,40.0
SKU001,26,29.0
SKU001,27,22.0
SKU001,28,10.0
SKU001,29,2.0
SKU001,30,2.0
SKU002,1,58.0
SKU002,2,47.0
SKU002,3,39.0
SKU002,4,31.0
SKU002,5,25.0
SKU002,6,20.0
SKU002,7,10.0
SKU002,8,2.0
SKU002,9,54.0
SKU002,10,47.0
SKU002,11,35.0
SKU002,12,25.0
SKU002,13,20.0
SKU002,14,12.0
SKU002,15,2.0
SKU002,16,56.0
SKU002,17,49.0
SKU002,18,40.0
SKU002,19,34.0
SKU002,20,23.0
SKU002,21,13.0
SKU002,22,7.0
SKU002,23,2.0
SKU002,24,47.0
SKU002,25,38.0
SKU002,26,29.0
SKU002,27,21.0
SKU002,28,13.0
SKU002,29,2.0
SKU002,30,2.0
SKU003,1,61.0
SKU003,2,57.0
SKU003,3,51.0
SKU003,4,44.0
SKU003,5,34.0
SKU003,6,22.0
SKU003,7,14.0
SKU003,8,2.0
SKU003,9,60.0
SKU003,10,51.0
SKU003,11,41.0
SKU003,12,29.0
SKU003,13,17.0
SKU003,14,11.0
SKU003,15,2.0
SKU003,16,61.0
SKU003,17,53.0
SKU003,18,43.0
SKU003,19,31.0
SKU003,20,25.0
SKU003,21,15.0
SKU003,22,7.0
SKU003,23,2.0
SKU003,24,45.0
SKU003,25,35.0
SKU003,26,25.0
SKU003,27,18.0
SKU003,28,10.0
SKU003,29,2.0
SKU003,30,2.0
SKU004,1,65.0
SKU004,2,54.0
SKU004,3,48.0
SKU004,4,43.0
SKU004,5,32.0
SKU004,6,26.0
SKU004,7,21.0
SKU004,8,13.0
SKU004,9,46.0
SKU004,10,40.0
SKU004,11,32.0
SKU004,12,25.0
SKU004,13,20.0
SKU004,14,9.0
SKU004,15,2.0
SKU004,16,58.0
SKU004,17,50.0
SKU004,18,42.0
SKU004,19,37.0
SKU004,20,27.0
SKU004,21,20.0
SKU004,22,11.0
SKU004,23,2.0
SKU004,24,43.0
SKU004,25,38.0
SKU004,26,27.0
SKU004,27,18.0
SKU004,28,12.0
SKU004,29,2.0
SKU004,30,2.0
SKU005,1,53.0
SKU005,2,61.0
SKU005,3,51.0
SKU005,4,43.0
SKU005,5,32.0
SKU005,6,21.0
SKU005,7,13.0
SKU005,8,2.0
SKU005,9,55.0
SKU005,10,43.0
SKU005,11,31.0
SKU005,12,20.0
SKU005,13,15.0
SKU005,14,9.0
SKU005,15,2.0
SKU005,16,59.0
SKU005,17,52.0
SKU005,18,43.0
SKU005,19,35.0
SKU005,20,23.0
SKU005,21,16.0
SKU005,22,10.0
SKU005,23,2.0
SKU005,24,40.0
SKU005,25,33.0
SKU005,26,27.0
SKU005,27,22.0
SKU005,28,13.0
SKU005,29,2.0
SKU005,30,2.0
