id,item,day,quantity
SKU001-7,SKU001,7,32.0
SKU001-15,SKU001,15,67.0
SKU001-22,SKU001,22,66.0
SKU001-29,SKU001,29,7.0
SKU001-30,SKU001,30,7.0
SKU002-7,SKU002,7,43.0
SKU002-15,SKU002,15,70.0
SKU002-22,SKU002,22,60.0
SKU002-29,SKU002,29,23.0
SKU003-7,SKU003,7,40.0
SKU003-15,SKU003,15,52.0
SKU003-22,SKU003,22,49.0
SKU003-29,SKU003,29,10.0
SKU003-30,SKU003,30,12.0
SKU004-7,SKU004,7,47.0
SKU004-15,SKU004,15,52.0
SKU004-22,SKU004,22,61.0
SKU004-29,SKU004,29,12.0
SKU004-30,SKU004,30,6.0
SKU005-7,SKU005,7,53.0
SKU005-15,SKU005,15,59.0
SKU005-22,SKU005,22,63.0
SKU005-29,SKU005,29,11.0
SKU005-30,SKU005,30,12.0
