item,day,quantity
SKU001,1,89.0
SKU001,2,79.0
SKU001,3,67.0
SKU001,4,58.0
SKU001,5,48.0
SKU001,6,40.0
SKU001,7,64.0
SKU001,8,58.0
SKU001,9,50.0
SKU001,10,40.0
SKU001,11,31.0
SKU001,12,24.0
SKU001,13,13.0
SKU001,14,2.0
SKU001,15,58.0
SKU001,16,47.0
SKU001,17,42.0
SKU001,18,32.0
SKU001,19,20.0
SKU001,20,9.0
SKU001,21,2.0
SKU001,22,57.0
SKU001,23,48.0
SKU001,24,37.0
SKU001,25,26.0
SKU001,26,17.0
SKU001,27,10.0
SKU001,28,2.0
SKU001,29,2.0
SKU001,30,2.0
SKU002,1,58.0
SKU002,2,51.0
SKU002,3,45.0
SKU002,4,40.0
SKU002,5,28.0
SKU002,6,23.0
SKU002,7,58.0
SKU002,8,46.0
SKU002,9,41.0
SKU002,10,34.0
SKU002,11,25.0
SKU002,12,17.0
SKU002,13,10.0
SKU002,14,2.0
SKU002,15,61.0
SKU002,16,50.0
SKU002,17,42.0
SKU002,18,32.0
SKU002,19,20.0
SKU002,20,9.0
SKU002,21,2.0
SKU002,22,50.0
SKU002,23,44.0
SKU002,24,38.0
SKU002,25,26.0
SKU002,26,15.0
SKU002,27,7.0
SKU002,28,2.0
SKU002,29,13.0
SKU002,30,2.0
SKU003,1,61.0
SKU003,2,56.0
SKU003,3,48.0
SKU003,4,41.0
SKU003,5,31.0
SKU003,6,23.0
SKU003,7,57.0
SKU003,8,48.0
SKU003,9,41.0
SKU003,10,30.0
SKU003,11,20.0
SKU003,12,12.0
SKU003,13,7.0
SKU003,14,2.0
SKU003,15,48.0
SKU003,16,40.0
SKU003,17,33.0
SKU003,18,27.0
SKU003,19,15.0
SKU003,20,8.0
SKU003,21,2.0
SKU003,22,46.0
SKU003,23,38.0
SKU003,24,33.0
SKU003,25,25.0
SKU003,26,18.0
SKU003,27,7.0
SKU003,28,2.0
SKU003,29,2.0
SKU003,30,2.0
SKU004,1,65.0
SKU004,2,59.0
SKU004,3,50.0
SKU004,4,41.0
SKU004,5,33.0
SKU004,6,22.0
SKU004,7,61.0
SKU004,8,49.0
SKU004,9,41.0
SKU004,10,36.0
SKU004,11,29.0
SKU004,12,19.0
SKU004,13,13.0
SKU004,14,2.0
SKU004,15,46.0
SKU004,16,41.0
SKU004,17,35.0
SKU004,18,29.0
SKU004,19,21.0
SKU004,20,13.0
SKU004,21,2.0
SKU004,22,51.0
SKU004,23,40.0
SKU004,24,32.0
SKU004,25,21.0
SKU004,26,14.0
SKU004,27,9.0
SKU004,28,2.0
SKU004,29,2.0
SKU004,30,2.0
SKU005,1,53.0
SKU005,2,42.0
SKU005,3,37.0
SKU005,4,31.0
SKU005,5,25.0
SKU005,6,13.0
SKU005,7,55.0
SKU005,8,50.0
SKU005,9,44.0
SKU005,10,33.0
SKU005,11,26.0
SKU005,12,20.0
SKU005,13,10.0
SKU005,14,2.0
SKU005,15,54.0
SKU005,16,43.0
SKU005,17,35.0
SKU005,18,27.0
SKU005,19,20.0
SKU005,20,9.0
SKU005,21,2.0
SKU005,22,56.0
SKU005,23,44.0
SKU005,24,36.0
SKU005,25,29.0
SKU005,26,21.0
SKU005,27,14.0
SKU005,28,2.0
SKU005,29,2.0
SKU005,30,2.0
