store_geo_code,store_option_id,is_open,opening_cost,baseline_turnover,revenue,incremental_revenue
60880204,1,False,10000000,0.0,66824146.7058,66824146.7058
60880501,1,True,0,427951160.134,49342330.76,-378608829.374
60880507,1,False,10000000,0.0,53538117.2225,53538117.2225
60880902,1,False,10000000,0.0,21930751.0329,21930751.0329
60881004,1,False,10000000,0.0,52046686.8882,52046686.8882
60881303,1,False,10000000,0.0,86911662.5906,86911662.5906
60881603,1,False,10000000,0.0,38661349.5718,38661349.5718
60881705,1,False,10000000,0.0,53785929.042,53785929.042
60881805,1,False,10000000,0.0,82469460.3603,82469460.3603
60882101,1,False,10000000,0.0,38511826.1482,38511826.1482
60882504,1,False,10000000,0.0,80891549.2641,80891549.2641
60882704,1,False,10000000,0.0,37096055.0143,37096055.0143
60882902,1,True,0,146038167.048,46376942.4402,-99661224.6081
60883003,1,False,10000000,0.0,34447444.8247,34447444.8247
60883301,1,False,10000000,0.0,10050919.4311,10050919.4311
60883402,1,False,10000000,0.0,26714284.7293,26714284.7293
60883701,1,True,0,147464158.837,15124282.6969,-132339876.14
