type,item,day,cost
Stock,SKU001,1,89.0
Order,SKU001,1,0.0
Stock,SKU001,2,81.0
Order,SKU001,2,0.0
Stock,SKU001,3,73.0
Order,SKU001,3,0.0
Stock,SKU001,4,61.0
Order,SKU001,4,0.0
Stock,SKU001,5,55.0
Order,SKU001,5,0.0
Stock,SKU001,6,48.0
Order,SKU001,6,0.0
Stock,SKU001,7,39.0
Order,SKU001,7,0.0
Stock,SKU001,8,32.0
Order,SKU001,8,0.0
Stock,SKU001,9,25.0
Order,SKU001,9,40.0
Stock,SKU001,10,13.0
Order,SKU001,10,0.0
Stock,SKU001,11,2.0
Order,SKU001,11,0.0
Stock,SKU001,12,15.0
Order,SKU001,12,253.0
Stock,SKU001,13,9.0
Order,SKU001,13,0.0
Stock,SKU001,14,2.0
Order,SKU001,14,0.0
Stock,SKU001,15,13.0
Order,SKU001,15,209.0
Stock,SKU001,16,8.0
Order,SKU001,16,0.0
Stock,SKU001,17,2.0
Order,SKU001,17,0.0
Stock,SKU001,18,20.0
Order,SKU001,18,286.0
Stock,SKU001,19,14.0
Order,SKU001,19,0.0
Stock,SKU001,20,2.0
Order,SKU001,20,0.0
Stock,SKU001,21,17.0
Order,SKU001,21,270.0
Stock,SKU001,22,12.0
Order,SKU001,22,0.0
Stock,SKU001,23,2.0
Order,SKU001,23,0.0
Stock,SKU001,24,28.0
Order,SKU001,24,380.0
Stock,SKU001,25,20.0
Order,SKU001,25,0.0
Stock,SKU001,26,9.0
Order,SKU001,26,0.0
Stock,SKU001,27,2.0
Order,SKU001,27,0.0
Stock,SKU001,28,10.0
Order,SKU001,28,220.0
Stock,SKU001,29,2.0
Order,SKU001,29,0.0
Stock,SKU001,30,2.0
Order,SKU001,30,60.0
Stock,SKU002,1,58.0
Order,SKU002,1,0.0
Stock,SKU002,2,47.0
Order,SKU002,2,0.0
Stock,SKU002,3,39.0
Order,SKU002,3,0.0
Stock,SKU002,4,31.0
Order,SKU002,4,0.0
Stock,SKU002,5,25.0
Order,SKU002,5,0.0
Stock,SKU002,6,20.0
Order,SKU002,6,0.0
Stock,SKU002,7,10.0
Order,SKU002,7,0.0
Stock,SKU002,8,2.0
Order,SKU002,8,0.0
Stock,SKU002,9,21.0
Order,SKU002,9,300.0
Stock,SKU002,10,14.0
Order,SKU002,10,0.0
Stock,SKU002,11,2.0
Order,SKU002,11,0.0
Stock,SKU002,12,15.0
Order,SKU002,12,230.0
