id,item,day,quantity
SKU001-9,SKU001,9,3.0
SKU001-12,SKU001,12,29.0
SKU001-15,SKU001,15,37.0
SKU001-19,SKU001,19,30.0
SKU001-22,SKU001,22,31.0
SKU001-25,SKU001,25,27.0
SKU001-28,SKU001,28,15.0
SKU001-30,SKU001,30,7.0
SKU002-9,SKU002,9,20.0
SKU002-12,SKU002,12,23.0
SKU002-15,SKU002,15,40.0
SKU002-19,SKU002,19,30.0
SKU002-22,SKU002,22,24.0
SKU002-25,SKU002,25,31.0
SKU002-28,SKU002,28,17.0
SKU002-30,SKU002,30,11.0
SKU003-9,SKU003,9,22.0
SKU003-12,SKU003,12,18.0
SKU003-15,SKU003,15,27.0
SKU003-19,SKU003,19,25.0
SKU003-22,SKU003,22,18.0
SKU003-25,SKU003,25,26.0
SKU003-28,SKU003,28,15.0
SKU003-30,SKU003,30,12.0
SKU004-6,SKU004,6,5.0
SKU004-9,SKU004,9,15.0
SKU004-12,SKU004,12,27.0
SKU004-15,SKU004,15,25.0
SKU004-19,SKU004,19,27.0
SKU004-22,SKU004,22,31.0
SKU004-25,SKU004,25,23.0
SKU004-28,SKU004,28,19.0
SKU004-30,SKU004,30,6.0
SKU005-6,SKU005,6,5.0
SKU005-9,SKU005,9,24.0
SKU005-12,SKU005,12,24.0
SKU005-15,SKU005,15,34.0
SKU005-19,SKU005,19,25.0
SKU005-22,SKU005,22,29.0
SKU005-25,SKU005,25,22.0
SKU005-28,SKU005,28,23.0
SKU005-30,SKU005,30,12.0
