type,item,day,cost
Stock,SKU001,1,89.0
Order,SKU001,1,0.0
Stock,SKU001,2,79.0
Order,SKU001,2,0.0
Stock,SKU001,3,67.0
Order,SKU001,3,0.0
Stock,SKU001,4,58.0
Order,SKU001,4,0.0
Stock,SKU001,5,48.0
Order,SKU001,5,0.0
Stock,SKU001,6,40.0
Order,SKU001,6,0.0
Stock,SKU001,7,32.0
Order,SKU001,7,0.0
Stock,SKU001,8,26.0
Order,SKU001,8,0.0
Stock,SKU001,9,21.0
Order,SKU001,9,36.0
Stock,SKU001,10,11.0
Order,SKU001,10,0.0
Stock,SKU001,11,2.0
Order,SKU001,11,0.0
Stock,SKU001,12,24.0
Order,SKU001,12,290.0
Stock,SKU001,13,13.0
Order,SKU001,13,0.0
Stock,SKU001,14,2.0
Order,SKU001,14,0.0
Stock,SKU001,15,28.0
Order,SKU001,15,370.0
Stock,SKU001,16,17.0
Order,SKU001,16,0.0
Stock,SKU001,17,12.0
Order,SKU001,17,0.0
Stock,SKU001,18,2.0
Order,SKU001,18,0.0
Stock,SKU001,19,20.0
Order,SKU001,19,300.0
Stock,SKU001,20,9.0
Order,SKU001,20,0.0
Stock,SKU001,21,2.0
Order,SKU001,21,0.0
Stock,SKU001,22,22.0
Order,SKU001,22,310.0
Stock,SKU001,23,13.0
Order,SKU001,23,0.0
Stock,SKU001,24,2.0
Order,SKU001,24,0.0
Stock,SKU001,25,18.0
Order,SKU001,25,297.0
Stock,SKU001,26,9.0
Order,SKU001,26,0.0
Stock,SKU001,27,2.0
Order,SKU001,27,0.0
Stock,SKU001,28,9.0
Order,SKU001,28,180.0
Stock,SKU001,29,2.0
Order,SKU001,29,0.0
Stock,SKU001,30,2.0
Order,SKU001,30,77.0
Stock,SKU002,1,58.0
Order,SKU002,1,0.0
Stock,SKU002,2,51.0
Order,SKU002,2,0.0
Stock,SKU002,3,45.0
Order,SKU002,3,0.0
Stock,SKU002,4,40.0
Order,SKU002,4,0.0
Stock,SKU002,5,28.0
Order,SKU002,5,0.0
Stock,SKU002,6,23.0
Order,SKU002,6,0.0
Stock,SKU002,7,15.0
Order,SKU002,7,0.0
Stock,SKU002,8,3.0
Order,SKU002,8,0.0
Stock,SKU002,9,18.0
Order,SKU002,9,220.0
Stock,SKU002,10,11.0
Order,SKU002,10,0.0
Stock,SKU002,11,2.0
Order,SKU002,11,0.0
Stock,SKU002,12,17.0
Order,SKU002,12,253.0
