CustomerID,OfferID,ChannelID,Probability,Cost,ExpectedRevenue
C-10162,O-9,Mobile,0.2195253212593921,50,5.488133031484802
C-10164,O-12,Mobile,0.3231911769867916,50,3.2319117698679163
C-10173,O-5,Mobile,0.3446930112211021,50,6.893860224422042
C-10173,O-10,Mobile,0.3817200210066184,50,11.451600630198552
C-10173,O-12,Mobile,0.4046650447133998,50,4.046650447133998
C-10176,O-9,Email,0.2222020950449533,30,5.555052376123832
C-10180,O-2,Email,0.5546180416532503,30,16.63854124959751
C-10198,O-6,Mobile,0.3180736542877385,50,9.542209628632154
C-10203,O-7,Mobile,0.36098589775430634,50,14.439435910172254
C-10209,O-1,Email,0.7534490476837895,30,30.13796190735158
C-10209,O-4,Email,0.4779785708991965,30,4.779785708991965
C-10209,O-11,Email,0.40756986955798286,30,13.042235825855451
C-10212,O-2,Mobile,0.5556577677334437,50,16.66973303200331
C-10214,O-6,Direct Mail,0.34268323236935144,70,10.280496971080543
C-10214,O-12,Direct Mail,0.41807412837905594,70,4.180741283790559
C-10219,O-2,Mobile,0.5644759179471303,50,16.93427753841391
C-10222,O-8,Direct Mail,0.30991510544117745,70,3.0991510544117746
C-10225,O-10,Mobile,0.29036847348882366,50,8.711054204664709
C-10229,O-2,Email,0.5617428548697405,30,16.852285646092216
C-10229,O-3,Email,0.37401556645411793,30,7.480311329082358
C-10229,O-9,Email,0.2889396269549443,30,7.2234906738736075
C-10239,O-1,Email,0.799961496959269,30,31.99845987837076
C-10254,O-11,Email,0.3312485898157461,30,10.599954874103876
C-10254,O-12,Email,0.3312485898157461,30,3.312485898157461
C-10266,O-6,Email,0.33766418804720816,30,10.129925641416245
C-10266,O-12,Email,0.4126440688575663,30,4.126440688575663
C-10278,O-6,Email,0.2659555861922719,30,7.978667585768156
C-10281,O-6,Mobile,0.33243875002812084,50,9.973162500843625
C-10281,O-8,Mobile,0.30454323111524056,50,3.0454323111524055
C-10295,O-4,Mobile,0.4757113549413329,50,4.7571135494133285
C-10295,O-9,Mobile,0.28973846292921707,50,7.243461573230427
C-10303,O-11,Direct Mail,0.34033661100970564,70,10.89077155231058
C-10311,O-6,Direct Mail,0.2711233050555009,70,8.133699151665027
C-10315,O-5,Direct Mail,0.27652518037023066,70,5.530503607404613
C-10315,O-7,Direct Mail,0.3174117140003508,70,12.696468560014031
C-10318,O-12,Direct Mail,0.33006876934032603,70,3.30068769340326
C-10330,O-4,Mobile,0.4586610430086584,50,4.5866104300865835
C-10330,O-9,Mobile,0.27584673809928834,50,6.8961684524822084
C-10332,O-7,Mobile,0.34789998184005383,50,13.915999273602154
C-10338,O-4,Email,0.46185560660785563,30,4.618556066078556
C-10338,O-12,Email,0.3244370306733421,30,3.2443703067334213
C-10346,O-7,Email,0.34627765670985544,30,13.851106268394219
C-10346,O-12,Email,0.3945101894357038,30,3.9451018943570384
C-10348,O-10,Direct Mail,0.3878444773428987,70,11.63533432028696
C-10350,O-7,Direct Mail,0.31441260810653676,70,12.576504324261471
C-10350,O-12,Direct Mail,0.32728560850144556,70,3.2728560850144555
C-10363,O-8,Direct Mail,0.24737321342854782,70,2.4737321342854783
C-10364,O-11,Mobile,0.4100762952724525,50,13.12244144871848
C-10380,O-7,Direct Mail,0.32201140337345047,70,12.880456134938019
C-10380,O-11,Direct Mail,0.33504347959184544,70,10.721391346939054
C-10381,O-4,Mobile,0.4558051900628617,50,4.558051900628617
C-10383,O-9,Direct Mail,0.2924787680241413,70,7.311969200603532
C-10383,O-10,Direct Mail,0.38555883907125954,70,11.566765172137787
C-10398,O-12,Mobile,0.39235975566391146,50,3.9235975566391144
C-10401,O-1,Email,0.7561879584121246,30,30.247518336484983
C-10401,O-5,Email,0.3507814531103851,30,7.015629062207703
C-10401,O-6,Email,0.33628447983369925,30,10.088534395010978
C-10408,O-3,Mobile,0.36329718427615404,50,7.265943685523081
C-10408,O-7,Mobile,0.3452246893382941,50,13.808987573531763
C-10408,O-8,Mobile,0.2927007341336579,50,2.9270073413365787
C-10410,O-3,Mobile,0.37021494022952894,50,7.404298804590579
C-10410,O-5,Mobile,0.340819194276694,50,6.81638388553388
C-10412,O-12,Mobile,0.31873716375752276,50,3.1873716375752275
C-10426,O-1,Mobile,0.7876713686149162,50,31.506854744596644
C-10426,O-2,Mobile,0.5587922464531732,50,16.763767393595195
C-10426,O-4,Mobile,0.4537172058524149,50,4.537172058524149
C-10428,O-11,Email,0.41603300398930365,30,13.313056127657717
C-10430,O-2,Direct Mail,0.572978547622186,70,17.18935642866558
C-10430,O-4,Direct Mail,0.4680658939902342,70,4.680658939902342
C-10430,O-7,Direct Mail,0.3170043495008165,70,12.680173980032661
C-10435,O-4,Direct Mail,0.48405900754504483,70,4.840590075450448
C-10446,O-5,Mobile,0.3381841099140308,50,6.763682198280616
C-10457,O-1,Email,0.7544137777969888,30,30.176551111879554
C-10457,O-2,Email,0.5662118178278315,30,16.986354534834945
C-10457,O-10,Email,0.38579802329557,30,11.5739406988671
C-10457,O-12,Email,0.40882608833025497,30,4.088260883302549
C-10458,O-7,Email,0.3536403413658615,30,14.14561365463446
C-10459,O-8,Email,0.24074566482601764,30,2.4074566482601765
C-10459,O-10,Email,0.29513731591736314,30,8.854119477520895
C-10460,O-5,Direct Mail,0.2837223848265474,70,5.674447696530947
C-10470,O-5,Mobile,0.33763751403636655,50,6.752750280727331
C-10472,O-6,Mobile,0.328046285452664,50,9.84138856357992
C-10477,O-6,Email,0.26445942827671437,30,7.933782848301431
C-10485,O-6,Email,0.3258106197558492,30,9.774318592675476
C-10485,O-8,Email,0.2982228148213192,30,2.982228148213192
C-10486,O-10,Mobile,0.3766691142341753,50,11.300073427025259
C-10486,O-11,Mobile,0.39950670882563694,50,12.784214682420382
C-10487,O-7,Email,0.3505028675444885,30,14.02011470177954
C-10487,O-8,Email,0.2975407845965061,30,2.9754078459650612
C-10488,O-6,Email,0.2649237370770291,30,7.947712112310873
C-10488,O-10,Email,0.2950298231642267,30,8.8508946949268
C-10490,O-1,Mobile,0.7472463674322933,50,29.88985469729173
C-10499,O-6,Email,0.2567819306216181,30,7.703457918648542
C-10506,O-2,Direct Mail,0.5622518461852665,70,16.867555385557996
C-10507,O-1,Email,0.7953941362436455,30,31.81576544974582
C-10507,O-6,Email,0.26136606866533707,30,7.840982059960112
C-10507,O-7,Email,0.3146392453904733,30,12.585569815618932
C-10511,O-9,Mobile,0.27941653387689674,50,6.985413346922418
C-10513,O-3,Mobile,0.2924904986088024,50,5.849809972176048
C-10522,O-10,Direct Mail,0.3017395701339735,70,9.052187104019206
C-10531,O-8,Email,0.24043521991525377,30,2.404352199152538
C-10531,O-10,Email,0.29478396391804285,30,8.843518917541285
C-10541,O-12,Direct Mail,0.4056086364607218,70,4.056086364607218
C-10542,O-1,Mobile,0.7965845015638754,50,31.863380062555017
C-10542,O-8,Mobile,0.23864358219338327,50,2.3864358219338326
C-10542,O-12,Mobile,0.32913362241251315,50,3.2913362241251316
C-10544,O-7,Mobile,0.3091137131071546,50,12.364548524286183
C-10544,O-10,Mobile,0.2859421078693303,50,8.57826323607991
C-10557,O-7,Email,0.3205169332128078,30,12.82067732851231
C-10561,O-10,Email,0.2954879026663018,30,8.864637079989054
C-10564,O-1,Email,0.8004909261668834,30,32.019637046675335
C-10564,O-4,Email,0.4732149347373557,30,4.732149347373557
C-10572,O-9,Direct Mail,0.28913376227909543,70,7.228344056977385
