CustomerID,OfferID,ChannelID,selected
C-10162,O-9,Mobile,1.0
C-10164,O-12,Mobile,1.0
C-10173,O-10,Mobile,1.0
C-10173,O-12,Mobile,0.0
C-10173,O-5,Mobile,0.0
C-10176,O-9,Email,1.0
C-10180,O-2,Email,1.0
C-10198,O-6,Mobile,1.0
C-10203,O-7,Mobile,1.0
C-10209,O-1,Email,1.0
C-10209,O-11,Email,0.0
C-10209,O-4,Email,0.0
C-10212,O-2,Mobile,1.0
C-10214,O-12,Direct Mail,0.0
C-10214,O-6,Direct Mail,1.0
C-10219,O-2,Mobile,1.0
C-10222,O-8,Direct Mail,1.0
C-10225,O-10,Mobile,1.0
C-10229,O-2,Email,1.0
C-10229,O-3,Email,0.0
C-10229,O-9,Email,0.0
C-10239,O-1,Email,1.0
C-10254,O-11,Email,1.0
C-10254,O-12,Email,0.0
C-10266,O-12,Email,0.0
C-10266,O-6,Email,1.0
C-10278,O-6,Email,1.0
C-10281,O-6,Mobile,1.0
C-10281,O-8,Mobile,0.0
C-10295,O-4,Mobile,0.0
C-10295,O-9,Mobile,1.0
C-10303,O-11,Direct Mail,1.0
C-10311,O-6,Direct Mail,1.0
C-10315,O-5,Direct Mail,0.0
C-10315,O-7,Direct Mail,1.0
C-10318,O-12,Direct Mail,1.0
C-10330,O-4,Mobile,0.0
C-10330,O-9,Mobile,1.0
C-10332,O-7,Mobile,1.0
C-10338,O-12,Email,0.0
C-10338,O-4,Email,1.0
C-10346,O-12,Email,0.0
C-10346,O-7,Email,1.0
C-10348,O-10,Direct Mail,1.0
C-10350,O-12,Direct Mail,0.0
C-10350,O-7,Direct Mail,1.0
C-10363,O-8,Direct Mail,1.0
C-10364,O-11,Mobile,1.0
C-10380,O-11,Direct Mail,0.0
C-10380,O-7,Direct Mail,1.0
C-10381,O-4,Mobile,1.0
C-10383,O-10,Direct Mail,1.0
C-10383,O-9,Direct Mail,0.0
C-10398,O-12,Mobile,1.0
C-10401,O-1,Email,1.0
C-10401,O-5,Email,0.0
C-10401,O-6,Email,0.0
C-10408,O-3,Mobile,0.0
C-10408,O-7,Mobile,1.0
C-10408,O-8,Mobile,0.0
C-10410,O-3,Mobile,1.0
C-10410,O-5,Mobile,0.0
C-10412,O-12,Mobile,1.0
C-10426,O-1,Mobile,1.0
C-10426,O-2,Mobile,0.0
C-10426,O-4,Mobile,0.0
C-10428,O-11,Email,1.0
C-10430,O-2,Direct Mail,0.0
C-10430,O-4,Direct Mail,0.0
C-10430,O-7,Direct Mail,1.0
C-10435,O-4,Direct Mail,1.0
C-10446,O-5,Mobile,1.0
C-10457,O-1,Email,1.0
C-10457,O-10,Email,0.0
C-10457,O-12,Email,0.0
C-10457,O-2,Email,0.0
