id,accident_prob,hour,zip_code,LATITUDE,LONGITUDE,date
1,0.509110703,11,JE1 1FG,49.196285,-2.158364,01/01/2018
2,0.752257717,11,JE3 8HG,49.188239,-2.228842,01/01/2018
3,0.605335603,11,JE3 2DT,49.246110,-2.201154,01/01/2018
4,0.505630334,11,JE3 4EJ,49.245725,-2.137397,01/01/2018
5,0.423254628,11,JE3 6AX,49.227239,-2.046725,01/01/2018
6,0.673854159,11,JE3 9BU,49.167468,-2.029122,01/01/2018
7,0.658139456,11,JE2 6FF,49.164335,-2.077004,01/01/2018
8,0.381155496,11,JE2 7WF,49.183389,-2.079328,01/01/2018
9,0.448913759,11,JE3 7AH,49.213789,-2.183446,01/01/2018
10,0.594044382,11,JE3 1NH,49.228338,-2.146876,01/01/2018
11,0.616408334,11,JE3 4FL,49.220233,-2.113969,01/01/2018
12,0.469278944,11,JE3 6WH,49.218168,-2.051950,01/01/2018
13,0.676145519,11,JE3 9HQ,49.200426,-2.063145,01/01/2018
14,0.8276354,11,JE2 3NF,49.18281,-2.108288,01/01/2018
