item,day,quantity
SKU001,1,89.0
SKU001,2,81.0
SKU001,3,73.0
SKU001,4,61.0
SKU001,5,55.0
SKU001,6,48.0
SKU001,7,39.0
SKU001,8,32.0
SKU001,9,41.0
SKU001,10,29.0
SKU001,11,18.0
SKU001,12,8.0
SKU001,13,2.0
SKU001,14,29.0
SKU001,15,21.0
SKU001,16,16.0
SKU001,17,10.0
SKU001,18,2.0
SKU001,19,41.0
SKU001,20,29.0
SKU001,21,17.0
SKU001,22,12.0
SKU001,23,2.0
SKU001,24,40.0
SKU001,25,32.0
SKU001,26,21.0
SKU001,27,14.0
SKU001,28,2.0
SKU001,29,2.0
SKU001,30,2.0
SKU002,1,58.0
SKU002,2,47.0
SKU002,3,39.0
SKU002,4,31.0
SKU002,5,25.0
SKU002,6,20.0
SKU002,7,10.0
SKU002,8,2.0
SKU002,9,36.0
SKU002,10,29.0
SKU002,11,17.0
SKU002,12,7.0
SKU002,13,2.0
SKU002,14,38.0
SKU002,15,28.0
SKU002,16,18.0
SKU002,17,11.0
SKU002,18,2.0
SKU002,19,34.0
SKU002,20,23.0
SKU002,21,13.0
SKU002,22,7.0
SKU002,23,2.0
SKU002,24,36.0
SKU002,25,27.0
SKU002,26,18.0
SKU002,27,10.0
SKU002,28,2.0
SKU002,29,2.0
SKU002,30,2.0
SKU003,1,61.0
SKU003,2,53.0
SKU003,3,47.0
SKU003,4,44.0
SKU003,5,34.0
SKU003,6,22.0
SKU003,7,14.0
SKU003,8,2.0
SKU003,9,45.0
SKU003,10,36.0
SKU003,11,26.0
SKU003,12,14.0
SKU003,13,2.0
SKU003,14,37.0
SKU003,15,28.0
SKU003,16,20.0
SKU003,17,12.0
SKU003,18,2.0
SKU003,19,31.0
SKU003,20,25.0
SKU003,21,15.0
SKU003,22,7.0
SKU003,23,2.0
SKU003,24,37.0
SKU003,25,27.0
SKU003,26,17.0
SKU003,27,10.0
SKU003,28,2.0
SKU003,29,2.0
SKU003,30,2.0
SKU004,1,65.0
SKU004,2,54.0
SKU004,3,48.0
SKU004,4,43.0
SKU004,5,32.0
SKU004,6,26.0
SKU004,7,21.0
SKU004,8,13.0
SKU004,9,28.0
SKU004,10,22.0
SKU004,11,14.0
SKU004,12,7.0
SKU004,13,2.0
SKU004,14,36.0
SKU004,15,29.0
SKU004,16,18.0
SKU004,17,10.0
SKU004,18,2.0
SKU004,19,37.0
SKU004,20,27.0
SKU004,21,20.0
SKU004,22,11.0
SKU004,23,2.0
SKU004,24,33.0
SKU004,25,28.0
SKU004,26,17.0
SKU004,27,8.0
SKU004,28,2.0
SKU004,29,2.0
SKU004,30,2.0
SKU005,1,53.0
SKU005,2,42.0
SKU005,3,32.0
SKU005,4,43.0
SKU005,5,32.0
SKU005,6,21.0
SKU005,7,13.0
SKU005,8,2.0
SKU005,9,42.0
SKU005,10,30.0
SKU005,11,18.0
SKU005,12,7.0
SKU005,13,2.0
SKU005,14,36.0
SKU005,15,29.0
SKU005,16,18.0
SKU005,17,11.0
SKU005,18,2.0
SKU005,19,35.0
SKU005,20,23.0
SKU005,21,16.0
SKU005,22,10.0
SKU005,23,2.0
SKU005,24,29.0
SKU005,25,22.0
SKU005,26,16.0
SKU005,27,11.0
SKU005,28,2.0
SKU005,29,2.0
SKU005,30,2.0
